system:index,day_of_year,layer,mean,year,.geo
0_0_1_00000000000000000000,1,Lapai District,0.3811121508424436,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1_00000000000000000001,1,Minna District,1.2799969967694776E-4,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1_00000000000000000002,1,Mokwa District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2_0,1,Kwara District,0.3716571933760301,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1_00000000000000000000,11,Lapai District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1_00000000000000000001,11,Minna District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1_00000000000000000002,11,Mokwa District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2_0,11,Kwara District,0.6995477554947402,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1_00000000000000000000,21,Lapai District,1.0670266052863449,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1_00000000000000000001,21,Minna District,0.6898308155995068,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1_00000000000000000002,21,Mokwa District,2.307513254919962,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2_0,21,Kwara District,3.7536521480283978,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1_00000000000000000000,31,Lapai District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1_00000000000000000001,31,Minna District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1_00000000000000000002,31,Mokwa District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2_0,31,Kwara District,0.6240562723448833,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1_00000000000000000000,41,Lapai District,2.028583210983213,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1_00000000000000000001,41,Minna District,1.7443969783205362,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1_00000000000000000002,41,Mokwa District,2.5381681387592048,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2_0,41,Kwara District,5.771037513777229,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1_00000000000000000000,51,Lapai District,1.8324752613975517,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1_00000000000000000001,51,Minna District,1.3100376429715959,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1_00000000000000000002,51,Mokwa District,1.8338717637463748,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2_0,51,Kwara District,4.248081259647213,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1_00000000000000000000,61,Lapai District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1_00000000000000000001,61,Minna District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1_00000000000000000002,61,Mokwa District,0.6685474758100817,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2_0,61,Kwara District,0.028712936870993327,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1_00000000000000000000,71,Lapai District,3.810303691872497,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1_00000000000000000001,71,Minna District,0.03255116801215582,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1_00000000000000000002,71,Mokwa District,1.0989458617403591,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2_0,71,Kwara District,2.243198256238446,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1_00000000000000000000,81,Lapai District,1.2178985727078793,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1_00000000000000000001,81,Minna District,2.671424432866423,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1_00000000000000000002,81,Mokwa District,3.354710831864882,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2_0,81,Kwara District,3.1209164991472593,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1_00000000000000000000,91,Lapai District,18.6671801249623,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1_00000000000000000001,91,Minna District,16.844214058525896,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1_00000000000000000002,91,Mokwa District,14.589730244063842,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2_0,91,Kwara District,18.96400333271148,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1_00000000000000000000,101,Lapai District,34.6767800007026,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1_00000000000000000001,101,Minna District,34.94040889955242,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1_00000000000000000002,101,Mokwa District,38.86288163360617,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2_0,101,Kwara District,45.12487580797769,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1_00000000000000000000,111,Lapai District,41.210741903408696,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1_00000000000000000001,111,Minna District,30.914853884561598,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1_00000000000000000002,111,Mokwa District,29.689705052647643,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2_0,111,Kwara District,25.28749262759477,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1_00000000000000000000,121,Lapai District,71.329524468791,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1_00000000000000000001,121,Minna District,81.17466897738421,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1_00000000000000000002,121,Mokwa District,84.43069328744802,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2_0,121,Kwara District,76.47173921701469,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1_00000000000000000000,131,Lapai District,57.178611997423666,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1_00000000000000000001,131,Minna District,72.16712085348085,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1_00000000000000000002,131,Mokwa District,72.37296075293459,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_2_0,131,Kwara District,62.15498829087086,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1_00000000000000000000,141,Lapai District,44.06666973197252,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1_00000000000000000001,141,Minna District,44.30512783918319,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1_00000000000000000002,141,Mokwa District,27.483127388598696,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_2_0,141,Kwara District,18.674187037869082,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1_00000000000000000000,151,Lapai District,61.07127654222169,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1_00000000000000000001,151,Minna District,53.70749123450975,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1_00000000000000000002,151,Mokwa District,46.406453477527,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_2_0,151,Kwara District,52.822974087274154,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1_00000000000000000000,161,Lapai District,36.996613107742675,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1_00000000000000000001,161,Minna District,32.899119051261685,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1_00000000000000000002,161,Mokwa District,42.909596998176255,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2_0,161,Kwara District,52.45990640671739,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1_00000000000000000000,171,Lapai District,34.63988669383672,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1_00000000000000000001,171,Minna District,33.14057907942665,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1_00000000000000000002,171,Mokwa District,38.07628813175313,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_2_0,171,Kwara District,57.16654819487624,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1_00000000000000000000,181,Lapai District,62.72161824999778,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1_00000000000000000001,181,Minna District,50.43572060864638,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1_00000000000000000002,181,Mokwa District,62.6988603083206,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_2_0,181,Kwara District,56.91896741145075,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_1_00000000000000000000,191,Lapai District,55.92957633320497,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_1_00000000000000000001,191,Minna District,51.20369586447908,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_1_00000000000000000002,191,Mokwa District,64.69465477162352,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_2_0,191,Kwara District,50.266272603274025,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_1_00000000000000000000,201,Lapai District,58.95416759468858,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_1_00000000000000000001,201,Minna District,72.07861784099882,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_1_00000000000000000002,201,Mokwa District,86.87320606889625,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_2_0,201,Kwara District,72.59757296576431,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1_00000000000000000000,211,Lapai District,138.92259370222465,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1_00000000000000000001,211,Minna District,87.82908376566138,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1_00000000000000000002,211,Mokwa District,101.6467883454089,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_2_0,211,Kwara District,93.60158010152624,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_1_00000000000000000000,221,Lapai District,66.01858306579723,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_1_00000000000000000001,221,Minna District,63.32254472794628,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_1_00000000000000000002,221,Mokwa District,59.319593280913196,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_2_0,221,Kwara District,41.807125411496,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_1_00000000000000000000,231,Lapai District,76.48291790387188,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_1_00000000000000000001,231,Minna District,69.36042127272223,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_1_00000000000000000002,231,Mokwa District,67.74832396817087,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_2_0,231,Kwara District,62.69084637252387,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_1_00000000000000000000,241,Lapai District,75.33432437804264,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_1_00000000000000000001,241,Minna District,80.73817062462102,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_1_00000000000000000002,241,Mokwa District,78.6591758084874,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_2_0,241,Kwara District,95.44563263742256,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_1_00000000000000000000,251,Lapai District,59.63908777221667,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_1_00000000000000000001,251,Minna District,82.50953643003321,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_1_00000000000000000002,251,Mokwa District,73.45941634941427,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_2_0,251,Kwara District,86.0048434761179,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_1_00000000000000000000,261,Lapai District,79.35549242834462,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_1_00000000000000000001,261,Minna District,83.15984076608181,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_1_00000000000000000002,261,Mokwa District,42.26004737534985,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_2_0,261,Kwara District,73.72931020955481,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_1_00000000000000000000,271,Lapai District,88.4463109978678,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_1_00000000000000000001,271,Minna District,81.14735789151776,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_1_00000000000000000002,271,Mokwa District,64.7722448619241,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_2_0,271,Kwara District,36.76386346357107,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_1_00000000000000000000,281,Lapai District,40.474981479502475,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_1_00000000000000000001,281,Minna District,37.90869657313647,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_1_00000000000000000002,281,Mokwa District,31.563614173140422,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_2_0,281,Kwara District,41.525091287298046,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_1_00000000000000000000,291,Lapai District,16.001674098906975,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_1_00000000000000000001,291,Minna District,11.363486634325957,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_1_00000000000000000002,291,Mokwa District,12.923538047663627,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_2_0,291,Kwara District,15.744880729861116,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_1_00000000000000000000,301,Lapai District,1.4936085123162592,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_1_00000000000000000001,301,Minna District,2.345011515333101,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_1_00000000000000000002,301,Mokwa District,0.9252121586261989,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_2_0,301,Kwara District,5.76445203601784,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_1_00000000000000000000,311,Lapai District,1.8609299736709741,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_1_00000000000000000001,311,Minna District,1.770342526347089,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_1_00000000000000000002,311,Mokwa District,0.7360266076676841,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_2_0,311,Kwara District,4.314848455475051,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_1_00000000000000000000,321,Lapai District,0.0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_1_00000000000000000001,321,Minna District,0.009759354795105745,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_1_00000000000000000002,321,Mokwa District,0.05531504607372759,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_2_0,321,Kwara District,1.1577315999473266,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_1_00000000000000000000,331,Lapai District,0.42716633195963727,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_1_00000000000000000001,331,Minna District,0.36044039486054563,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_1_00000000000000000002,331,Mokwa District,0.07862774828442046,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_2_0,331,Kwara District,0.052521158745614874,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_1_00000000000000000000,341,Lapai District,0.636714542438788,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_1_00000000000000000001,341,Minna District,0.29029150696491424,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_1_00000000000000000002,341,Mokwa District,1.155716062373443,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_2_0,341,Kwara District,7.508820366909492,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35_1_00000000000000000000,351,Lapai District,1.4110168257943647,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35_1_00000000000000000001,351,Minna District,0.4255316723030749,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35_1_00000000000000000002,351,Mokwa District,2.301438185951984,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35_2_0,351,Kwara District,4.239548571523713,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_1_00000000000000000000,361,Lapai District,0.4716902212094856,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_1_00000000000000000001,361,Minna District,0.03561536215305351,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_1_00000000000000000002,361,Mokwa District,0.17998874685895055,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_2_0,361,Kwara District,0.7368652556814079,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1_00000000000000000000,1,Lapai District,0.0,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1_00000000000000000001,1,Minna District,0.0,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1_00000000000000000002,1,Mokwa District,0.0,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2_0,1,Kwara District,0.0,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_00000000000000000000,11,Lapai District,0.1330632850875202,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_00000000000000000001,11,Minna District,0.007622741577603688,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_00000000000000000002,11,Mokwa District,0.2309553813259067,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,11,Kwara District,1.8256627981725704,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_00000000000000000000,21,Lapai District,0.1330632850875202,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_00000000000000000001,21,Minna District,0.0,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_00000000000000000002,21,Mokwa District,0.2309553813259067,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2_0,21,Kwara District,1.8256627981725704,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1_00000000000000000000,31,Lapai District,0.24124246386562365,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1_00000000000000000001,31,Minna District,0.21890158719485753,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1_00000000000000000002,31,Mokwa District,0.47445551099832695,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_2_0,31,Kwara District,5.192194840796643,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1_00000000000000000000,41,Lapai District,0.643007132545762,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1_00000000000000000001,41,Minna District,0.5193378485184084,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1_00000000000000000002,41,Mokwa District,1.052903541658696,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_2_0,41,Kwara District,8.271089803191083,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1_00000000000000000000,51,Lapai District,4.236173939720457,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1_00000000000000000001,51,Minna District,1.4356426925638281,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1_00000000000000000002,51,Mokwa District,3.8308586275960965,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_2_0,51,Kwara District,6.5410011168493405,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_1_00000000000000000000,61,Lapai District,2.5250370444893693,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_1_00000000000000000001,61,Minna District,0.36872162599584307,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_1_00000000000000000002,61,Mokwa District,1.7399498328151182,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_2_0,61,Kwara District,6.935859399307524,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_1_00000000000000000000,71,Lapai District,22.110927261746014,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_1_00000000000000000001,71,Minna District,11.816902088676459,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_1_00000000000000000002,71,Mokwa District,25.50671627319113,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_2_0,71,Kwara District,30.018191784488,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1_00000000000000000000,81,Lapai District,5.860365108596284,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1_00000000000000000001,81,Minna District,3.1286779080503693,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1_00000000000000000002,81,Mokwa District,3.9065512697096,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_2_0,81,Kwara District,5.1399423618487345,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1_00000000000000000000,91,Lapai District,28.13137995344773,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1_00000000000000000001,91,Minna District,23.474418171700087,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1_00000000000000000002,91,Mokwa District,16.75094361273057,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_2_0,91,Kwara District,37.163834161925855,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1_00000000000000000000,101,Lapai District,36.25362312721629,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1_00000000000000000001,101,Minna District,37.692737790095926,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1_00000000000000000002,101,Mokwa District,29.3037510707881,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_2_0,101,Kwara District,31.91163421326876,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1_00000000000000000000,111,Lapai District,38.025031656872265,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1_00000000000000000001,111,Minna District,32.29519288557903,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1_00000000000000000002,111,Mokwa District,39.01428366232524,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_2_0,111,Kwara District,55.75688318923085,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_1_00000000000000000000,121,Lapai District,59.04364903194285,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_1_00000000000000000001,121,Minna District,59.054148612851236,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_1_00000000000000000002,121,Mokwa District,56.04149882559428,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_2_0,121,Kwara District,46.98402979467391,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_1_00000000000000000000,131,Lapai District,88.791569193687,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_1_00000000000000000001,131,Minna District,100.95994325545139,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_1_00000000000000000002,131,Mokwa District,65.7435767050442,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_2_0,131,Kwara District,60.87590161231218,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_1_00000000000000000000,141,Lapai District,92.62733311991033,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_1_00000000000000000001,141,Minna District,85.14231317808387,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_1_00000000000000000002,141,Mokwa District,75.3396327805848,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_2_0,141,Kwara District,57.74183419826865,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_1_00000000000000000000,151,Lapai District,89.72177638241514,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_1_00000000000000000001,151,Minna District,95.1572800036038,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_1_00000000000000000002,151,Mokwa District,75.39830475158612,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_2_0,151,Kwara District,70.87914435325779,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_1_00000000000000000000,161,Lapai District,67.24265762812536,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_1_00000000000000000001,161,Minna District,67.88818148454015,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_1_00000000000000000002,161,Mokwa District,61.362241504651344,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_2_0,161,Kwara District,37.89307299589745,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_1_00000000000000000000,171,Lapai District,75.48937721967725,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_1_00000000000000000001,171,Minna District,73.80755867723951,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_1_00000000000000000002,171,Mokwa District,71.82064339961816,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_2_0,171,Kwara District,71.44429797671137,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_1_00000000000000000000,181,Lapai District,98.99544969688127,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_1_00000000000000000001,181,Minna District,78.81056555802309,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_1_00000000000000000002,181,Mokwa District,112.92910201945281,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_2_0,181,Kwara District,101.46426499725503,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_1_00000000000000000000,191,Lapai District,81.70086933412856,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_1_00000000000000000001,191,Minna District,84.02618333236641,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_1_00000000000000000002,191,Mokwa District,82.93304088614927,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_2_0,191,Kwara District,79.47705629666532,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_1_00000000000000000000,201,Lapai District,71.23961246213553,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_1_00000000000000000001,201,Minna District,68.03146593056391,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_1_00000000000000000002,201,Mokwa District,69.65412371383228,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
